assessment_id,child_id,assessment_age_years,assessment_domain,standardised_score_demo,assessment_date_demo,assessment_status,record_created_at_demo
EDU-000001,CH-000001,8,literacy_demo,0.7426,2015-12-27,observed,2026-07-15
EDU-000002,CH-000001,8,numeracy_demo,0.128,2015-12-08,observed,2026-07-15
EDU-000003,CH-000001,10,literacy_demo,0.9658,2018-02-12,observed,2026-07-15
EDU-000004,CH-000001,10,numeracy_demo,0.5865,2017-11-25,observed,2026-07-15
EDU-000005,CH-000001,12,literacy_demo,,2020-02-16,missing_demo,2026-07-15
EDU-000006,CH-000001,12,numeracy_demo,0.2425,2019-12-25,observed,2026-07-15
EDU-000007,CH-000001,14,literacy_demo,1.1476,2022-02-12,observed,2026-07-15
EDU-000008,CH-000001,14,numeracy_demo,0.7705,2021-12-13,observed,2026-07-15
EDU-000009,CH-000002,8,literacy_demo,0.5001,2017-08-10,observed,2026-07-15
EDU-000010,CH-000002,8,numeracy_demo,0.236,2017-08-11,observed,2026-07-15
EDU-000011,CH-000002,10,literacy_demo,0.1141,2019-08-02,observed,2026-07-15
EDU-000012,CH-000002,10,numeracy_demo,0.6728,2019-07-22,observed,2026-07-15
EDU-000013,CH-000002,12,literacy_demo,1.4097,2021-07-09,observed,2026-07-15
EDU-000014,CH-000002,12,numeracy_demo,,2021-09-02,missing_demo,2026-07-15
EDU-000015,CH-000002,14,literacy_demo,0.327,2023-08-08,observed,2026-07-15
EDU-000016,CH-000002,14,numeracy_demo,0.6295,2023-09-08,observed,2026-07-15
EDU-000017,CH-000003,8,literacy_demo,-0.0573,2013-03-16,observed,2026-07-15
EDU-000018,CH-000003,8,numeracy_demo,-0.4,2013-03-26,observed,2026-07-15
EDU-000019,CH-000003,10,literacy_demo,-0.4642,2015-02-07,observed,2026-07-15
EDU-000020,CH-000003,10,numeracy_demo,-0.2183,2015-03-07,observed,2026-07-15
EDU-000021,CH-000003,12,literacy_demo,-1.1734,2017-03-25,observed,2026-07-15
EDU-000022,CH-000003,12,numeracy_demo,-0.9571,2017-02-13,observed,2026-07-15
EDU-000023,CH-000003,14,literacy_demo,-0.8455,2019-03-10,observed,2026-07-15
EDU-000024,CH-000003,14,numeracy_demo,-0.2124,2019-01-22,observed,2026-07-15
EDU-000025,CH-000004,8,literacy_demo,-0.1132,2015-04-15,observed,2026-07-15
EDU-000026,CH-000004,8,numeracy_demo,-0.0679,2015-05-21,observed,2026-07-15
EDU-000027,CH-000004,10,literacy_demo,-0.0525,2017-04-26,observed,2026-07-15
EDU-000028,CH-000004,10,numeracy_demo,0.5585,2017-04-22,observed,2026-07-15
EDU-000029,CH-000004,12,literacy_demo,0.3633,2019-04-13,observed,2026-07-15
EDU-000030,CH-000004,12,numeracy_demo,0.2532,2019-05-04,observed,2026-07-15
EDU-000031,CH-000004,14,literacy_demo,0.7585,2021-04-25,observed,2026-07-15
EDU-000032,CH-000004,14,numeracy_demo,0.5408,2021-04-23,observed,2026-07-15
EDU-000033,CH-000005,8,literacy_demo,-1.3378,2014-04-03,observed,2026-07-15
EDU-000034,CH-000005,8,numeracy_demo,-1.4315,2014-03-08,observed,2026-07-15
EDU-000035,CH-000005,10,literacy_demo,,2016-05-23,missing_demo,2026-07-15
EDU-000036,CH-000005,10,numeracy_demo,-0.0423,2016-04-06,observed,2026-07-15
EDU-000037,CH-000005,12,literacy_demo,-1.3727,2018-04-16,observed,2026-07-15
EDU-000038,CH-000005,12,numeracy_demo,-0.8617,2018-04-26,observed,2026-07-15
EDU-000039,CH-000005,14,literacy_demo,-1.4523,2020-05-29,observed,2026-07-15
EDU-000040,CH-000005,14,numeracy_demo,-1.0717,2020-04-23,observed,2026-07-15
EDU-000041,CH-000006,8,literacy_demo,-0.2633,2014-03-10,observed,2026-07-15
EDU-000042,CH-000006,8,numeracy_demo,-0.4226,2014-03-30,observed,2026-07-15
EDU-000043,CH-000006,10,literacy_demo,-0.9352,2016-03-16,observed,2026-07-15
EDU-000044,CH-000006,10,numeracy_demo,-0.8556,2016-01-19,observed,2026-07-15
