family_id,region_code,area_context,socioeconomic_quintile_demo,protective_context_score_demo,family_created_at_demo
FAM-000001,REGION_INVALID,metropolitan_demo,4,8.607,2026-07-15
FAM-000002,REGION_INVALID,metropolitan_demo,3,4.483,2026-07-15
FAM-000003,REGION_INVALID,regional_demo,3,3.811,2026-07-15
FAM-000004,REGION_B,regional_demo,9,4.603,2026-07-15
FAM-000005,REGION_B,regional_demo,9,5.131,2026-07-15
FAM-000006,REGION_A,metropolitan_demo,9,5.5,2026-07-15
FAM-000007,REGION_A,metropolitan_demo,2,5.243,2026-07-15
FAM-000008,REGION_C,remote_demo,2,4.481,2026-07-15
FAM-000009,REGION_B,regional_demo,5,6.261,2026-07-15
FAM-000010,REGION_A,metropolitan_demo,3,8.146,2026-07-15
FAM-000011,REGION_C,remote_demo,3,3.845,2026-07-15
FAM-000012,REGION_B,regional_demo,4,4.863,2026-07-15
FAM-000013,REGION_B,regional_demo,1,1.643,2026-07-15
FAM-000014,REGION_A,metropolitan_demo,3,2.384,2026-07-15
FAM-000015,REGION_A,metropolitan_demo,4,6.624,2026-07-15
FAM-000016,REGION_A,metropolitan_demo,5,6.186,2026-07-15
FAM-000017,REGION_A,metropolitan_demo,1,5.239,2026-07-15
FAM-000018,REGION_C,remote_demo,4,4.703,2026-07-15
FAM-000019,REGION_B,regional_demo,2,6.163,2026-07-15
FAM-000020,REGION_A,metropolitan_demo,1,4.767,2026-07-15
FAM-000021,REGION_A,metropolitan_demo,3,6.689,2026-07-15
FAM-000022,REGION_B,regional_demo,3,7.039,2026-07-15
FAM-000023,REGION_A,metropolitan_demo,1,2.554,2026-07-15
FAM-000024,REGION_A,metropolitan_demo,4,5.855,2026-07-15
FAM-000025,REGION_C,remote_demo,3,8.271,2026-07-15
FAM-000026,REGION_A,metropolitan_demo,3,4.181,2026-07-15
FAM-000027,REGION_A,metropolitan_demo,3,5.995,2026-07-15
FAM-000028,REGION_A,metropolitan_demo,2,4.9,2026-07-15
FAM-000029,REGION_B,regional_demo,4,2.394,2026-07-15
FAM-000030,REGION_B,regional_demo,2,5.127,2026-07-15
FAM-000031,REGION_C,remote_demo,4,7.402,2026-07-15
FAM-000032,REGION_B,regional_demo,2,6.004,2026-07-15
FAM-000033,REGION_B,regional_demo,5,3.578,2026-07-15
FAM-000034,REGION_B,regional_demo,5,7.091,2026-07-15
FAM-000035,REGION_C,remote_demo,5,8.918,2026-07-15
FAM-000036,REGION_B,regional_demo,5,4.284,2026-07-15
FAM-000037,REGION_B,regional_demo,2,4.955,2026-07-15
FAM-000038,REGION_A,metropolitan_demo,4,6.843,2026-07-15
FAM-000039,REGION_A,metropolitan_demo,2,5.813,2026-07-15
FAM-000040,REGION_C,remote_demo,1,4.782,2026-07-15
FAM-000041,REGION_A,metropolitan_demo,3,5.843,2026-07-15
FAM-000042,REGION_A,metropolitan_demo,3,5.077,2026-07-15
FAM-000043,REGION_A,metropolitan_demo,3,5.434,2026-07-15
FAM-000044,REGION_A,metropolitan_demo,4,6.073,2026-07-15
FAM-000045,REGION_A,metropolitan_demo,5,6.031,2026-07-15
FAM-000046,REGION_A,metropolitan_demo,2,6.504,2026-07-15
FAM-000047,REGION_A,metropolitan_demo,3,7.172,2026-07-15
FAM-000048,REGION_B,regional_demo,1,2.99,2026-07-15
FAM-000049,REGION_B,regional_demo,4,4.481,2026-07-15
FAM-000050,REGION_C,remote_demo,4,7.76,2026-07-15
FAM-000051,REGION_A,metropolitan_demo,5,5.731,2026-07-15
FAM-000052,REGION_B,regional_demo,3,6.662,2026-07-15
FAM-000053,REGION_C,remote_demo,3,6.832,2026-07-15
FAM-000054,REGION_A,metropolitan_demo,3,6.565,2026-07-15
FAM-000055,REGION_B,regional_demo,5,8.23,2026-07-15
FAM-000056,REGION_A,metropolitan_demo,2,6.538,2026-07-15
FAM-000057,REGION_B,regional_demo,2,1.386,2026-07-15
FAM-000058,REGION_B,regional_demo,5,3.706,2026-07-15
FAM-000059,REGION_B,regional_demo,3,7.407,2026-07-15
FAM-000060,REGION_B,regional_demo,3,6.552,2026-07-15
FAM-000061,REGION_A,metropolitan_demo,3,5.029,2026-07-15
FAM-000062,REGION_C,remote_demo,3,5.043,2026-07-15
FAM-000063,REGION_B,regional_demo,5,8.795,2026-07-15
FAM-000064,REGION_A,metropolitan_demo,4,6.584,2026-07-15
FAM-000065,REGION_A,metropolitan_demo,4,6.924,2026-07-15
FAM-000066,REGION_B,regional_demo,2,7.341,2026-07-15
FAM-000067,REGION_A,metropolitan_demo,1,6.454,2026-07-15
FAM-000068,REGION_C,remote_demo,2,5.741,2026-07-15
FAM-000069,REGION_B,regional_demo,2,5.76,2026-07-15
FAM-000070,REGION_C,remote_demo,4,7.876,2026-07-15
FAM-000071,REGION_A,metropolitan_demo,4,5.782,2026-07-15
