parent_id,family_id,parent_role,birth_year_demo,baseline_age_at_first_child_demo,country_context_demo,parent_record_created_at_demo
P-000001,FAM-000001,guardian,1981,27,CONTEXT_A,2026-07-15
M-000001,FAM-000001,mother,1981,27,CONTEXT_A,2026-07-15
P-000002,FAM-000002,guardian,1960,45,CONTEXT_C,2026-07-15
M-000002,FAM-000002,mother,1971,34,CONTEXT_C,2026-07-15
P-000003,FAM-000003,guardian,1968,38,CONTEXT_C,2026-07-15
M-000003,FAM-000003,mother,1973,33,CONTEXT_A,2026-07-15
P-000004,FAM-000004,father,1980,26,CONTEXT_A,2026-07-15
M-000004,FAM-000004,mother,1980,26,CONTEXT_C,2026-07-15
P-000005,FAM-000005,father,1976,32,CONTEXT_A,2026-07-15
M-000005,FAM-000005,mother,1983,25,CONTEXT_A,2026-07-15
P-000006,FAM-000006,father,1969,38,CONTEXT_A,2026-07-15
M-000006,FAM-000006,mother,1972,35,CONTEXT_A,2026-07-15
M-000007,FAM-000007,mother,1973,34,CONTEXT_A,2026-07-15
P-000007,FAM-000007,mother,1973,34,CONTEXT_B,2026-07-15
M-000008,FAM-000008,mother,1978,27,CONTEXT_A,2026-07-15
P-000008,FAM-000008,mother,1973,32,CONTEXT_A,2026-07-15
M-000009,FAM-000009,mother,1978,29,CONTEXT_A,2026-07-15
P-000009,FAM-000009,mother,1968,39,CONTEXT_A,2026-07-15
P-000010,FAM-000010,father,1982,24,CONTEXT_C,2026-07-15
M-000010,FAM-000010,mother,1978,28,CONTEXT_B,2026-07-15
P-000011,FAM-000011,father,1967,36,CONTEXT_A,2026-07-15
M-000011,FAM-000011,mother,1971,32,CONTEXT_A,2026-07-15
P-000012,FAM-000012,father,1967,41,CONTEXT_A,2026-07-15
M-000012,FAM-000012,mother,1974,34,CONTEXT_B,2026-07-15
P-000013,FAM-000013,father,1979,25,CONTEXT_B,2026-07-15
M-000013,FAM-000013,mother,1979,25,CONTEXT_A,2026-07-15
P-000014,FAM-000014,father,1977,30,CONTEXT_A,2026-07-15
M-000014,FAM-000014,mother,1976,31,CONTEXT_A,2026-07-15
P-000015,FAM-000015,father,1987,18,CONTEXT_A,2026-07-15
M-000015,FAM-000015,mother,1986,19,CONTEXT_A,2026-07-15
P-000016,FAM-000016,father,1970,31,CONTEXT_C,2026-07-15
M-000016,FAM-000016,mother,1970,31,CONTEXT_A,2026-07-15
P-000017,FAM-000017,father,1984,23,CONTEXT_A,2026-07-15
M-000017,FAM-000017,mother,1985,22,CONTEXT_B,2026-07-15
P-000018,FAM-000018,father,1974,26,CONTEXT_A,2026-07-15
M-000018,FAM-000018,mother,1968,32,CONTEXT_A,2026-07-15
P-000019,FAM-000019,father,1970,30,CONTEXT_B,2026-07-15
M-000019,FAM-000019,mother,1972,28,CONTEXT_A,2026-07-15
P-000020,FAM-000020,father,1957,43,CONTEXT_A,2026-07-15
M-000020,FAM-000020,mother,1965,35,CONTEXT_B,2026-07-15
P-000021,FAM-000021,father,1966,33,CONTEXT_A,2026-07-15
M-000021,FAM-000021,mother,1970,29,CONTEXT_A,2026-07-15
P-000022,FAM-000022,father,1977,29,CONTEXT_A,2026-07-15
M-000022,FAM-000022,mother,1976,30,CONTEXT_B,2026-07-15
P-000023,FAM-000023,father,1962,36,CONTEXT_C,2026-07-15
M-000023,FAM-000023,mother,1965,33,CONTEXT_A,2026-07-15
P-000024,FAM-000024,father,1975,33,CONTEXT_A,2026-07-15
M-000024,FAM-000024,mother,1977,31,CONTEXT_A,2026-07-15
P-000025,FAM-000025,father,1967,34,CONTEXT_A,2026-07-15
M-000025,FAM-000025,mother,1976,25,CONTEXT_A,2026-07-15
P-000026,FAM-000026,father,1980,26,CONTEXT_C,2026-07-15
M-000026,FAM-000026,mother,1986,20,CONTEXT_A,2026-07-15
P-000027,FAM-000027,father,1971,36,CONTEXT_C,2026-07-15
M-000027,FAM-000027,mother,1974,33,CONTEXT_A,2026-07-15
P-000028,FAM-000028,father,1970,33,CONTEXT_B,2026-07-15
M-000028,FAM-000028,mother,1975,28,CONTEXT_A,2026-07-15
P-000029,FAM-000029,father,1971,37,CONTEXT_A,2026-07-15
M-000029,FAM-000029,mother,1980,28,CONTEXT_A,2026-07-15
P-000030,FAM-000030,father,1974,34,CONTEXT_A,2026-07-15
M-000030,FAM-000030,mother,1979,29,CONTEXT_B,2026-07-15
P-000031,FAM-000031,father,1974,34,CONTEXT_A,2026-07-15
M-000031,FAM-000031,mother,1976,32,CONTEXT_A,2026-07-15
P-000032,FAM-000032,father,1980,28,CONTEXT_A,2026-07-15
M-000032,FAM-000032,mother,1978,30,CONTEXT_A,2026-07-15
P-000033,FAM-000033,father,1972,31,CONTEXT_B,2026-07-15
M-000033,FAM-000033,mother,1968,35,CONTEXT_C,2026-07-15
P-000034,FAM-000034,father,1976,24,CONTEXT_A,2026-07-15
M-000034,FAM-000034,mother,1970,30,CONTEXT_C,2026-07-15
P-000035,FAM-000035,father,1980,28,CONTEXT_C,2026-07-15
M-000035,FAM-000035,mother,1977,31,CONTEXT_A,2026-07-15
P-000036,FAM-000036,father,1973,35,CONTEXT_A,2026-07-15
M-000036,FAM-000036,mother,1975,33,CONTEXT_B,2026-07-15
P-000037,FAM-000037,father,1965,35,CONTEXT_A,2026-07-15
M-000037,FAM-000037,mother,1969,31,CONTEXT_C,2026-07-15
P-000038,FAM-000038,father,1975,27,CONTEXT_B,2026-07-15
M-000038,FAM-000038,mother,1975,27,CONTEXT_B,2026-07-15
P-000039,FAM-000039,father,1973,33,CONTEXT_B,2026-07-15
M-000039,FAM-000039,mother,1977,29,CONTEXT_B,2026-07-15
